Country,countryCode,Population,Capital,Birthrate,Deathrate
Tuvalu,TUV,10869,26,8.7,66.2
Uganda,UGA,37101745,241038,10.7,54.9
Ukraine,UKR,44429471,603550,14.5,71.6
Uruguay,URY,3341893,176215,9.5,77
Uzbekistan,UZB,29199942,447400,5.3,73.5
Vanuatu,VUT,272264,12189,4.1,73.1
Venezuela,VEN,29275460,912050,5.3,74.5
United Arab Emirates,ARE,5779760,83600,2,77.3
United States,USA,321368864,9826675,8.2,79.7
United Kingdom,GBR,64088222,243610,9.4,80.5
Vietnam,VNM,94348835,331210,5.9,73.2
Central African Republic,CAF,5391539,622984,13.8,51.8
Cyprus,CYP,1189197,9251,6.6,78.5
