City,Population,Area,density,latitude,longitude,name,desc,color,source,precision
Zhengzhou,"41,22,087","1,006","4,097",34.759188,113.652408,Zhengzhou,"Zhengzhou, Erqi District, Henan, CN",,MapQuest Open,city/town
Suzhou,"40,74,000","1,679.20","2,426",31.298476,120.622239,Suzhou,"Suzhou, Gusu District, Jiangsu, CN",,MapQuest Open,city/town
Sydney,"39,56,000","2,037","1,942",-33.867957,151.210047,Sydney,"Sydney, Sydney, NSW, AU",,MapQuest Open,NEIGHBORHOOD
New Taipei City,"39,10,086","2,052.57","1,905",25.012027,121.465717,New Taipei City,"New Taipei City, New Taipei City, TW",,MapQuest Open,city/town
Los Angeles,"38,19,702","1,29","2,94",34.054394,-118.243941,Los Angeles,"Los Angeles, Los Angeles County, CA, US",,MapQuest Open,city/town
Melbourne,"37,61,000","2,543","1,479",-37.814218,144.963161,Melbourne,"Melbourne, City of Melbourne, Victoria, AU",,MapQuest Open,city/town
Cape Town,"37,40,026","2,461","1,52",-33.928992,18.417396,Cape Town,"Cape Town, City of Cape Town, Western Cape, ZA",,MapQuest Open,city/town
Shenyang,"37,17,098",166,"22,392",41.804529,123.427786,Shenyang,"Shenyang, Shenhe District, Liaoning, CN",,MapQuest Open,city/town
Yokohama,"36,80,267",437.38,"8,414",35.455592,139.572196,Yokohama,"三浦郡, 三浦郡, JP",,MapQuest Open,city/town
Busan,"36,00,381",766.12,"4,666",27.918868,68.23265,Busan,"Busan, Shikārpur District, Sindh, PK",,MapQuest Open,city/town
Hangzhou,"35,60,391",728.19,"4,889",30.275674,120.150486,Hangzhou,"Hangzhou, Gongshu District, Zhejiang, CN",,MapQuest Open,city/town
Quanzhou,"35,20,846","1,062","3,315",24.90388,118.585146,Quanzhou,"Quanzhou, Licheng District, Fujian, CN",,MapQuest Open,city/town
Durban,"34,42,361","2,297","1,499",-29.861825,31.00991,Durban,"Durban, eThekwini Metropolitan Municipality, KwaZulu-Natal, ZA",,MapQuest Open,city/town
Casablanca,"34,27,000",386,"8,878",33.594973,-7.618801,Casablanca,"Casablanca, préfecture d'arrondissements de Casablanca-Anfa عمالة مقاطعات الدار البيضاء أنفا, Casablanca-Settat, MA",,MapQuest Open,city/town
Algiers,"34,15,811",363,"9,4",36.775348,3.060066,Algiers,"Algiers, Alger Centre, Algiers, DZ",,MapQuest Open,city/town
Berlin,"34,01,147",892,"3,813",52.517037,13.38886,Berlin,"Berlin, Berlin, DE",,MapQuest Open,city/town
Nairobi,"33,75,000",696,"4,849",-1.283253,36.817245,Nairobi,"Nairobi, Nairobi, KE",,MapQuest Open,city/town
Hefei,"33,52,076",838.52,"3,998",31.822809,117.221803,Hefei,"Hefei, Shushan District, Anhui, CN",,MapQuest Open,city/town
Kabul,"32,89,000",275,"11,96",34.519706,69.16243,Kabul,"Kabul, Kabul, AF",,MapQuest Open,city/town
Pyongyang,"32,55,388","3,194","1,019",39.019518,125.753088,Pyongyang,"Pyongyang, Pyongyang, KP",,MapQuest Open,city/town
Madrid,"32,13,271",698,"4,604",40.416705,-3.703582,Madrid,"Madrid, Área metropolitana de Madrid y Corredor del Henares, Community of Madrid, ES",,MapQuest Open,city/town
Ekurhuleni,"31,78,470","1,975","1,609",-26.373731,28.167634,Ekurhuleni,"Germiston, Ekurhuleni Metropolitan Municipality, Gauteng, ZA",,MapQuest Open,NEIGHBORHOOD
Pune,"31,15,431",450.69,"6,913",18.520316,73.85432,Pune,"Pune, Pune, Maharashtra, IN",,MapQuest Open,city/town
Addis Ababa,"31,03,673",526.99,"5,889",9.010793,38.761253,Addis Ababa,"Addis Ababa, Addis Ababa, ET",,MapQuest Open,city/town
Changsha,"30,93,980",969,"3,19",28.187377,112.983582,Changsha,"Changsha, Yuhua Districty, Hunan, CN",,MapQuest Open,city/town
Jaipur,"30,73,350",485,"6,337",26.916129,75.820406,Jaipur,"Jaipur, Rajasthan, IN",,MapQuest Open,city/town
Xuzhou,"30,53,778",393,"7,77",34.205107,117.278248,Xuzhou,"Xuzhou, Yunlong District, Jiangsu, CN",,MapQuest Open,city/town
Wenzhou,"30,39,500","1,187.88","2,558",28.022199,120.648392,Wenzhou,"Wenzhou, Wenzhou Metropolitan Area, Zhejiang, CN",,MapQuest Open,city/town
